ParticipantNo,D_t,W_t,R_t,Repetition,Trial,PressedTime,Hit
0,0.5,0.1,0.15,5,347,0.3478671,0
0,0.5,0.2,0.15,2,348,0.4172813,1
0,0.5,0.1,0.15,1,349,0.5013438,0
0,0.5,0.1,0.15,10,350,0.4174497,1
0,0.6,0.1,0.15,8,351,0.4456779,0
0,0.4,0.1,0.15,2,352,0.3893629,0
0,0.5,0.2,0.15,6,353,0.4175265,1
0,0.4,0.1,0.15,10,354,0.3758394,0
0,0.4,0.2,0.15,3,355,0.3899933,1
0,0.4,0.2,0.15,18,356,3.838896,0
0,0.5,0.2,0.15,4,357,0.4184581,1
0,0.4,0.2,0.15,19,358,0.4320367,1
0,0.4,0.2,0.15,12,359,0.4042181,1
0,0.5,0.2,0.15,13,360,0.3899544,1
0,0.4,0.1,0.2,19,361,0.4039465,0
0,0.5,0.1,0.2,5,362,0.3617593,1
0,0.5,0.2,0.2,12,363,0.3900497,1
0,0.6,0.2,0.2,2,364,0.4174219,1
0,0.5,0.2,0.2,4,365,0.4037184,1
0,0.5,0.2,0.2,3,366,0.4589598,1
0,0.6,0.2,0.2,6,367,0.4455412,1
0,0.6,0.2,0.2,18,368,0.5292208,1
0,0.6,0.2,0.2,13,369,0.4037598,1
0,0.6,0.2,0.2,14,370,0.4035514,1
0,0.6,0.1,0.2,7,371,0.5292484,0
0,0.4,0.1,0.2,18,372,0.3479069,0
0,0.4,0.2,0.2,9,373,0.3616792,1
0,0.5,0.2,0.2,18,374,0.3205202,1
0,0.5,0.1,0.2,10,375,0.3756222,1
0,0.4,0.2,0.2,16,376,0.3621413,1
0,0.6,0.2,0.2,16,377,0.3753806,0
0,0.6,0.2,0.2,7,378,0.5987295,1
0,0.5,0.1,0.2,12,379,0.3479755,1
0,0.4,0.2,0.2,7,380,0.3897837,1
0,0.5,0.2,0.2,0,381,0.3901223,1
0,0.4,0.1,0.2,17,382,0.3483229,0
0,0.6,0.1,0.2,10,383,0.348238,0
0,0.6,0.1,0.2,13,384,0.4871299,1
0,0.5,0.2,0.2,7,385,0.3484485,1
0,0.5,0.2,0.2,10,386,0.4737209,1
0,0.5,0.1,0.2,19,387,0.4037198,0
0,0.5,0.2,0.2,9,388,0.3482914,1
0,0.4,0.1,0.2,10,389,0.4317791,0
0,0.6,0.2,0.2,19,390,0.4317023,1
0,0.4,0.1,0.2,8,391,0.3757475,0
0,0.4,0.1,0.2,14,392,0.3759285,0
0,0.5,0.2,0.2,14,393,0.292525,0
0,0.4,0.2,0.2,14,394,0.3897995,1
0,0.4,0.2,0.2,10,395,0.2788044,1
0,0.6,0.1,0.2,3,396,0.3622495,0
0,0.5,0.1,0.2,13,397,0.3619065,1
0,0.6,0.1,0.2,0,398,0.4876921,1
0,0.6,0.1,0.2,17,399,0.3899088,0
0,0.6,0.1,0.2,1,400,0.4457014,1
0,0.5,0.2,0.2,2,401,0.4319244,1
0,0.5,0.1,0.2,6,402,0.3758976,1
0,0.6,0.2,0.2,11,403,0.6405691,0
0,0.6,0.1,0.2,5,404,0.4180028,1
0,0.5,0.2,0.2,1,405,0.4876736,1
0,0.5,0.1,0.2,16,406,0.4037739,0
0,0.5,0.1,0.2,11,407,0.278733,0
0,0.6,0.1,0.2,2,408,0.403506,1
0,0.5,0.2,0.2,11,409,0.4317849,1
0,0.4,0.2,0.2,6,410,0.4172838,0
0,0.4,0.2,0.2,2,411,0.3899775,1
0,0.5,0.2,0.2,15,412,0.3756663,1
0,0.5,0.1,0.2,1,413,0.4309309,0
0,0.5,0.1,0.2,14,414,0.3342529,1
0,0.5,0.1,0.2,8,415,0.3897665,1
0,0.6,0.2,0.2,10,416,0.4596416,1
0,0.4,0.1,0.2,15,417,0.3623591,0
0,0.6,0.2,0.2,4,418,0.3759013,0
0,0.4,0.1,0.2,4,419,0.4460268,0
0,0.4,0.2,0.2,5,420,0.2922484,1
0,0.6,0.1,0.2,19,421,0.3480159,0
